target_id,planet_name,hostname,source_mission,campaign_quarter,ra_deg,dec_deg,disposition,discovery_method,discovery_year,discovery_facility,stellar_teff_k,stellar_radius_rsun,stellar_mass_msun,stellar_metallicity,stellar_logg,planet_period_days_measured,planet_radius_rearth,planet_mass_mearth,planet_mass_mjup,planet_orbital_eccentricity,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
EPIC_201238110,EPIC 201238110.01,EPIC 201238110,K2,14,179.7058532,-3.3894613,CANDIDATE,Transit,2016.0,K2,3772.0,0.52,,,,7.9069606,3.02,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201238163,EPIC 201238163.01,EPIC 201238163,K2,16,173.2627978,-3.3887192,CANDIDATE,Transit,2016.0,K2,3875.0,0.56,,,,1.0829614,1.56,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201239401,EPIC 201239401.01,EPIC 201239401,K2,19,173.0528796,-3.370321,CANDIDATE,Transit,2016.0,K2,,0.576,,,,0.905655,1.57,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201239401,EPIC 201239401.01,EPIC 201239401,K2,16,173.0528796,-3.370321,CANDIDATE,Transit,2016.0,K2,3710.0,0.5,,,,0.90552205,1.52,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201247497,EPIC 201247497.01,EPIC 201247497,K2,2,177.9464521,-3.2460183,CANDIDATE,Transit,2016.0,K2,3834.0,0.55,,,,2.7541129,4.87,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201247497,EPIC 201247497.01,EPIC 201247497,K2,3,177.9464521,-3.2460183,CANDIDATE,Transit,2016.0,K2,,0.89,,,,2.75421,8.4,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201247497,EPIC 201247497.01,EPIC 201247497,K2,2,177.9464521,-3.2460183,CANDIDATE,Transit,2016.0,K2,3918.0,0.436,,,4.846,2.75391,3.78,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201257461,EPIC 201257461.01,EPIC 201257461,K2,16,178.1611264,-3.0949095,FALSE POSITIVE,Transit,2015.0,K2,4859.0,0.74,,,,50.285869,3.47,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201257461,EPIC 201257461.01,EPIC 201257461,K2,0,178.1611264,-3.0949095,FALSE POSITIVE,Transit,2015.0,K2,5141.0,10.96,,-0.21,,50.27762,209.52,,,,,1466.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201258341,EPIC 201258341.01,EPIC 201258341,K2,11,178.6905819,-3.0828192,CANDIDATE,Transit,2019.0,K2,,0.878,,,,10.50439,1.75,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201259803,EPIC 201259803.01,EPIC 201259803,K2,8,170.382257,-3.0610326,CANDIDATE,Transit,2019.0,K2,,0.431,,,,1.684208,5.51,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201264302,EPIC 201264302.01,EPIC 201264302,K2,13,169.5971097,-2.9913978,CANDIDATE,Transit,2016.0,K2,,0.188,,,,0.2122013,0.519,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201264302,EPIC 201264302.01,EPIC 201264302,K2,2,169.5971097,-2.9913978,CANDIDATE,Transit,2016.0,K2,3468.0,0.37,,,,0.21219899,1.05,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201264302,EPIC 201264302.01,EPIC 201264302,K2,13,169.5971097,-2.9913978,CANDIDATE,Transit,2016.0,K2,3299.0,0.26,,0.155,5.106,0.212194,0.77,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201270176,EPIC 201270176.01,EPIC 201270176,K2,5,170.1325248,-2.9026339,CANDIDATE,Transit,2016.0,K2,4811.0,0.73,,,,1.5778643,7.55,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201270176,EPIC 201270176.01,EPIC 201270176,K2,18,170.1325248,-2.9026339,CANDIDATE,Transit,2016.0,K2,5163.0,1.15585,0.87,,4.25178,1.57771549,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
HIP_55390,EPIC 201270464.01,HIP 55390,Kepler,13,170.133417,-2.8982132,CANDIDATE,Transit,2016.0,K2,7333.0,2.56752,1.66,,3.83915,1.57771549,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201274010,EPIC 201274010.01,EPIC 201274010,K2,15,183.3092954,-2.844186,CANDIDATE,Transit,2018.0,K2,5347.0,0.880221,0.92,,4.51267,13.0113,2.43,,,,,713.0,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201291843,EPIC 201291843.01,EPIC 201291843,K2,16,178.420349,-2.5717754,CANDIDATE,Transit,2016.0,K2,3759.0,0.572892,0.565387,,4.67427,40.70206194,,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201299088,EPIC 201299088.01,EPIC 201299088,K2,5,182.2046312,-2.4646145,CANDIDATE,Transit,2018.0,K2,5154.0,1.761722,,-0.26,3.91,21.204739,9.11013939,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201324549,EPIC 201324549.01,EPIC 201324549,K2,17,171.2359519,-2.0851597,FALSE POSITIVE,Transit,2016.0,K2,6283.0,1.45,,,4.17,2.519334,3.91,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201324549,EPIC 201324549.01,EPIC 201324549,K2,14,171.2359519,-2.0851597,FALSE POSITIVE,Transit,2016.0,K2,6380.0,1.76,,,,2.5194039,7.65729,,,,219.344,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
EPIC_201324549,EPIC 201324549.01,EPIC 201324549,K2,0,171.2359519,-2.0851597,FALSE POSITIVE,Transit,2016.0,K2,,2.03,,,,2.519386,19.6,,,,,,BKJD,2454833.0,TDB,NASA_Exoplanet_Archive_KOI2,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
