target_id,tic_id,toi_number,source_mission,sector,ra_deg,dec_deg,ra_str,dec_str,tfopwg_disposition,stellar_teff_k,stellar_radius_rsun,stellar_tmag,stellar_distance_pc,planet_period_days_measured,transit_depth_ppm_measured,transit_duration_hours_measured,planet_radius_rearth,planet_insolation,planet_equilibrium_temp_k,time_system,time_offset_bjd,bjd_reference,data_source,lightcurve_type,flux_calibration
TIC_304021498,304021498,1031.01,TESS,43,140.88389,-67.026006,09h23m32.13s,-67d01m33.62s,FP,6415.4,1.92,9.7318,270.771,5.652623,1250.0,3.434,8.94354,2717.06,2011.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_146589986,146589986,1032.01,TESS,55,159.221506,-42.541639,10h36m53.16s,-42d32m29.9s,PC,10395.0,2.3383701,9.7611,587.196,5.6643704,3491.8232968,3.8087395,14.7738943,7657.6621505,2385.8536488,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_149601557,149601557,1033.01,TESS,51,87.282586,-60.498444,05h49m07.82s,-60d29m54.4s,FP,6113.1,2.01,10.0163,219.94,29.0160175,1389.0,5.345,6.77406,33.2234,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_400595342,400595342,1034.01,TESS,19,134.441752,-49.000578,08h57m46.02s,-49d00m02.08s,FP,9810.0,1.60776,9.8174,363.44,3.6404389,476.3077321,2.5339234,3.7025342,9941.2265514,2783.098027,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_361413119,361413119,1035.01,TESS,26,144.150273,-61.583182,09h36m36.07s,-61d34m59.46s,PC,5964.0,2.4303801,10.1126,347.556,6.0744477,5982.5212406,2.4954821,30.9493217,1487.5644344,1583.9398898,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_146172354,146172354,1036.01,TESS,20,157.867112,-42.240448,10h31m28.11s,-42d14m25.61s,PC,5771.0,1.18,10.2855,184.015,3.7795212,2761.0,2.952,5.98375,466.528,1294.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_363260203,363260203,1037.01,TESS,59,147.385172,-63.306478,09h49m32.44s,-63d18m23.32s,FP,9158.0,1.74,9.0211,279.698,1.2025238,390.0,1.991,6.31106,208477.0,5952.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_90544017,90544017,1038.01,TESS,27,128.454638,-49.940347,08h33m49.11s,-49d56m25.25s,FP,8904.0,2.17,8.7157,280.765,3.2235985,680.0,2.159,5.51341,2064.8,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_461867584,461867584,1039.01,TESS,17,149.688545,-58.760453,09h58m45.25s,-58d45m37.63s,APC,,,8.5483,2864.34,4.420125,2466.0,3.956,,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_231670397,231670397,104.01,TESS,22,319.949697,-58.148933,21h19m47.93s,-58d08m56.16s,KP,6036.0,2.2186699,9.8638,316.678,4.0872956,3572.1712499,5.586113,13.6237732,2242.3605401,1755.0767383,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_310483807,310483807,1040.01,TESS,50,128.61421,-61.488262,08h34m27.41s,-61d29m17.74s,FP,10037.0,6.04,8.3854,732.432,2.55555,340.0,1.566,11.5901,3520.68,2145.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_385624852,385624852,1041.01,TESS,15,138.402252,-55.19791,09h13m36.54s,-55d11m52.48s,FP,9081.0,3.05,8.0981,305.034,8.30792,8350.0,3.228,43.1068,2276.25,1924.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_360286627,360286627,1042.01,TESS,23,141.975215,-61.33004,09h27m54.05s,-61d19m48.14s,PC,9917.0,3.5086601,9.718,792.633,0.758082,583.93181,1.8184632,10.1273702,216218.1005011,5499.7476332,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_90448944,90448944,1043.01,TESS,48,128.302319,-52.714202,08h33m12.56s,-52d42m51.13s,FP,6902.0,1.52,9.5719,208.055,1.4415577,507.0,2.349,3.61078,16861.8,3174.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_463402815,463402815,1044.01,TESS,12,153.811023,-58.766393,10h15m14.65s,-58d45m59.01s,PC,5215.2,,10.0031,494.689,1.0085089,3051.0,1.642,,,,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_54044474,54044474,1045.01,TESS,37,159.887704,-32.51188,10h39m33.05s,-32d30m42.77s,FP,7013.8,1.9,9.6306,300.696,3.7039994,7590.0,4.277,17.57,3546.13,2149.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_309787037,309787037,1046.01,TESS,21,126.419468,-60.907514,08h25m40.67s,-60d54m27.05s,FP,6762.0,1.75,10.0119,301.298,1.3042553,914.0,1.706,9.36472,26944.7,3569.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_370745311,370745311,1047.01,TESS,32,144.581535,-67.505097,09h38m19.57s,-67d30m18.35s,FP,5622.0,0.93,10.2355,134.926,0.62627,1880.0,0.666,5.72162,3235.57,2101.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_384549882,384549882,1048.01,TESS,22,136.527702,-54.903922,09h06m06.65s,-54d54m14.12s,FP,11892.0,2.52,8.802,440.426,0.30412,1330.0,0.748,10.417,280833.0,6413.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_16288184,16288184,1049.01,TESS,66,253.768848,-28.710584,16h55m04.52s,-28d42m38.1s,KP,6599.0,1.2714601,11.0657,314.995,2.1805277,16340.1353205,2.969175,16.808853,1770.4650539,1654.404068,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_144065872,144065872,105.01,TESS,54,337.457824,-48.003099,22h29m49.88s,-48d00m11.16s,KP,5630.0,1.23824,9.4995,137.544,2.1846669,11708.0228549,2.86528,13.7028527,1362.1381428,1549.4409801,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_66818296,66818296,1050.01,TESS,44,239.962248,-28.061794,15h59m50.94s,-28d03m42.46s,KP,6650.0,1.57,11.0261,405.908,3.7354838,17030.0,4.142,21.2315,1292.19,1670.0,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_259863352,259863352,1051.01,TESS,54,40.365939,-71.462749,02h41m27.83s,-71d27m45.9s,FA,5625.0,1.56486,7.1278,53.19149,21.701669,211.6567325,8.2676424,2.3751494,52.095,685.2,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
TIC_317060587,317060587,1052.01,TESS,68,337.510274,-75.646561,22h30m02.47s,-75d38m47.62s,CP,5958.2,1.58,9.0197,129.804,9.139804,358.4157801,3.0912936,3.0629855,243.011763,1006.9932829,BTJD,2457000.0,TDB,NASA_Exoplanet_Archive_TOI,synthetic_based_on_real_parameters,PDCSAP_equivalent_normalized
