tic_id,sector_run
4070275,32-32
4076535,20-20
4076535,47-47
4076535,60-60
4102368,62-62
4133580,20-20
4133580,47-47
4133580,60-60
4133580,45-45
4142508,65-65
4154172,32-32
4159461,32-32
4161406,20-20
4161406,44-44
4161406,45-45
4161406,46-46
4161406,47-47
4161406,60-60
4161406,71-71
4161406,72-72
4164712,44-44
4164712,45-45
4164712,46-46
4164712,47-47
4164713,20-20
4164713,44-44
4164713,45-45
4164713,46-46
4164713,47-47
4164713,60-60
4166514,20-20
4166514,44-44
4166514,45-45
4166514,46-46
4166514,47-47
4166514,60-60
4166514,71-71
4166514,72-72
4197629,20-20
4197629,44-44
4197629,45-45
4197629,46-46
4197629,47-47
4197629,60-60
4197629,71-71
4197629,72-72
4200337,32-32
4205309,32-32
4205427,32-32
4206238,6-6
4206238,32-32
4207747,6-6
4207747,32-32
4247738,20-20
4247738,44-44
4247738,45-45
4247738,46-46
4247738,47-47
4247738,60-60
4247738,71-71
4247738,72-72
4248830,20-20
4248830,44-44
4248830,45-45
4248830,46-46
4248830,47-47
4248830,60-60
4248973,20-20
4248973,44-44
4248973,45-45
4248973,46-46
4248973,47-47
4248973,60-60
4250225,32-32
4250263,32-32
4254033,32-32
4254504,32-32
4254645,6-6
4285935,20-20
4285935,44-44
4285935,45-45
4285935,47-47
4285935,60-60
4285935,46-46
4287299,20-20
4287299,44-44
4287299,45-45
4287299,46-46
4287299,47-47
4287299,60-60
4287299,71-71
4289286,32-32
4289378,32-32
4289743,32-32
4289756,6-6
4289756,32-32
4289780,6-6
4289780,32-32
4293908,6-6
4293908,32-32
4293984,32-32
4294664,32-32
4294779,32-32
4297318,20-20
4297318,44-44
4297318,45-45
4297318,47-47
4297318,60-60
4299179,20-20
4299179,44-44
4299179,45-45
4299179,46-46
4299179,47-47
4299179,60-60
4299179,71-71
4299179,72-72
4299830,20-20
4299830,44-44
4299830,45-45
4299830,46-46
4299830,47-47
4299830,60-60
4299830,71-71
4299830,72-72
4300066,44-44
4300066,46-46
4300066,47-47
4300066,60-60
4300066,71-71
4300066,72-72
4300066,20-20
4300066,45-45
4350574,32-32
4351705,6-6
4351705,32-32
4355351,32-32
4356409,6-6
4356409,32-32
